Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c7338b9fffff,H3,2028,12,0.8
880c7338b9fffff,H3,2028,13,0.9
880c7338b9fffff,H3,2028,14,0.9
880c7338b9fffff,H3,2028,15,1.1
880c7338b9fffff,H3,2028,16,1.4
880c7338b9fffff,H3,2028,17,1.8
880c7338b9fffff,H3,2028,18,2.2
880c7338b9fffff,H3,2028,19,2.4
880c7338b9fffff,H3,2028,20,2.5
880c7338b9fffff,H3,2028,21,2.4
880c7338b9fffff,H3,2028,22,2.3
880c7338b9fffff,H3,2028,23,2.0
880c7339d7fffff,H3,2028,0,8.9
880c7339d7fffff,H3,2028,1,7.7
880c7339d7fffff,H3,2028,2,6.6
880c7339d7fffff,H3,2028,3,5.9
880c7339d7fffff,H3,2028,4,5.2
880c7339d7fffff,H3,2028,5,4.8
880c7339d7fffff,H3,2028,6,4.3
880c7339d7fffff,H3,2028,7,3.6
880c7339d7fffff,H3,2028,8,3.1
880c7339d7fffff,H3,2028,9,3.0
880c7339d7fffff,H3,2028,10,3.3
880c7339d7fffff,H3,2028,11,3.8
880c7339d7fffff,H3,2028,12,4.3
880c7339d7fffff,H3,2028,13,4.9
880c7339d7fffff,H3,2028,14,5.3
880c7339d7fffff,H3,2028,15,6.4
880c7339d7fffff,H3,2028,16,8.0
880c7339d7fffff,H3,2028,17,10.1
880c7339d7fffff,H3,2028,18,11.7
880c7339d7fffff,H3,2028,19,12.5
880c7339d7fffff,H3,2028,20,12.8
880c7339d7fffff,H3,2028,21,12.6
880c7339d7fffff,H3,2028,22,11.7
880c7339d7fffff,H3,2028,23,10.5
880c733a33fffff,H3,2028,0,9.9
880c733a33fffff,H3,2028,1,8.6
880c733a33fffff,H3,2028,2,7.5
880c733a33fffff,H3,2028,3,6.7
880c733a33fffff,H3,2028,4,6.1
880c733a33fffff,H3,2028,5,5.6
880c733a33fffff,H3,2028,6,5.0
880c733a33fffff,H3,2028,7,4.0
880c733a33fffff,H3,2028,8,3.4
880c733a33fffff,H3,2028,9,3.3
880c733a33fffff,H3,2028,10,3.5
880c733a33fffff,H3,2028,11,4.0
880c733a33fffff,H3,2028,12,4.7
880c733a33fffff,H3,2028,13,5.2
880c733a33fffff,H3,2028,14,5.8
880c733a33fffff,H3,2028,15,6.8
880c733a33fffff,H3,2028,16,8.5
880c733a33fffff,H3,2028,17,11.1
880c733a33fffff,H3,2028,18,13.0
880c733a33fffff,H3,2028,19,13.9
880c733a33fffff,H3,2028,20,14.4
880c733a33fffff,H3,2028,21,14.1
880c733a33fffff,H3,2028,22,13.1
880c733a33fffff,H3,2028,23,11.6
880c733a35fffff,H3,2028,0,6.8
880c733a35fffff,H3,2028,1,5.9
880c733a35fffff,H3,2028,2,5.2
880c733a35fffff,H3,2028,3,4.7
880c733a35fffff,H3,2028,4,4.2
880c733a35fffff,H3,2028,5,3.9
880c733a35fffff,H3,2028,6,3.4
880c733a35fffff,H3,2028,7,2.7
880c733a35fffff,H3,2028,8,2.3
880c733a35fffff,H3,2028,9,2.2
880c733a35fffff,H3,2028,10,2.4
880c733a35fffff,H3,2028,11,2.7
880c733a35fffff,H3,2028,12,3.2
880c733a35fffff,H3,2028,13,3.5
880c733a35fffff,H3,2028,14,3.9
880c733a35fffff,H3,2028,15,4.5
880c733a35fffff,H3,2028,16,5.7
880c733a35fffff,H3,2028,17,7.5
880c733a35fffff,H3,2028,18,8.8
880c733a35fffff,H3,2028,19,9.4
880c733a35fffff,H3,2028,20,9.9
880c733a35fffff,H3,2028,21,9.7
880c733a35fffff,H3,2028,22,9.0
880c733a35fffff,H3,2028,23,8.0
880c733aa3fffff,H3,2028,0,2.6
880c733aa3fffff,H3,2028,1,2.3
880c733aa3fffff,H3,2028,2,1.9
880c733aa3fffff,H3,2028,3,1.7
880c733aa3fffff,H3,2028,4,1.6
880c733aa3fffff,H3,2028,5,1.5
880c733aa3fffff,H3,2028,6,1.4
880c733aa3fffff,H3,2028,7,1.2
880c733aa3fffff,H3,2028,8,1.0
880c733aa3fffff,H3,2028,9,1.0
880c733aa3fffff,H3,2028,10,1.1
880c733aa3fffff,H3,2028,11,1.2
880c733aa3fffff,H3,2028,12,1.5
880c733aa3fffff,H3,2028,13,1.7
880c733aa3fffff,H3,2028,14,1.8
880c733aa3fffff,H3,2028,15,2.2
880c733aa3fffff,H3,2028,16,2.7
880c733aa3fffff,H3,2028,17,3.5
880c733aa3fffff,H3,2028,18,4.0
880c733aa3fffff,H3,2028,19,4.1
880c733aa3fffff,H3,2028,20,4.2
880c733aa3fffff,H3,2028,21,4.0
880c733aa3fffff,H3,2028,22,3.6
880c733aa3fffff,H3,2028,23,3.2
880c733ac7fffff,H3,2028,0,2.0
880c733ac7fffff,H3,2028,1,1.8
880c733ac7fffff,H3,2028,2,1.6
880c733ac7fffff,H3,2028,3,1.4
880c733ac7fffff,H3,2028,4,1.2
880c733ac7fffff,H3,2028,5,1.1
880c733ac7fffff,H3,2028,6,1.0
880c733ac7fffff,H3,2028,7,0.9
880c733ac7fffff,H3,2028,8,0.7
880c733ac7fffff,H3,2028,9,0.7
880c733ac7fffff,H3,2028,10,0.8
880c733ac7fffff,H3,2028,11,0.9
880c733ac7fffff,H3,2028,12,1.0
880c733ac7fffff,H3,2028,13,1.1
880c733ac7fffff,H3,2028,14,1.2
880c733ac7fffff,H3,2028,15,1.5
880c733ac7fffff,H3,2028,16,1.8
880c733ac7fffff,H3,2028,17,2.4
880c733ac7fffff,H3,2028,18,2.7
880c733ac7fffff,H3,2028,19,3.0
880c733ac7fffff,H3,2028,20,3.1
880c733ac7fffff,H3,2028,21,3.0
880c733ac7fffff,H3,2028,22,2.7
880c733ac7fffff,H3,2028,23,2.4
880c733acbfffff,H3,2028,0,3.9
880c733acbfffff,H3,2028,1,3.4
880c733acbfffff,H3,2028,2,3.0
880c733acbfffff,H3,2028,3,2.6
880c733acbfffff,H3,2028,4,2.4
880c733acbfffff,H3,2028,5,2.2
880c733acbfffff,H3,2028,6,1.9
880c733acbfffff,H3,2028,7,1.6
880c733acbfffff,H3,2028,8,1.4
880c733acbfffff,H3,2028,9,1.2
880c733acbfffff,H3,2028,10,1.4
880c733acbfffff,H3,2028,11,1.6
880c733acbfffff,H3,2028,12,1.8
880c733acbfffff,H3,2028,13,2.0
880c733acbfffff,H3,2028,14,2.3
880c733acbfffff,H3,2028,15,2.7
