Year,Hour of Day,Avg. Demand,County
2024,16,1.2,lancaster
2024,17,1.6,lancaster
2024,18,1.9,lancaster
2024,19,2.0,lancaster
2024,20,2.2,lancaster
2024,21,2.0,lancaster
2024,22,1.9,lancaster
2024,23,1.7,lancaster
2024,0,4.2,lancaster
2024,1,3.6,lancaster
2024,2,3.2,lancaster
2024,3,2.8,lancaster
2024,4,2.6,lancaster
2024,5,2.4,lancaster
2024,6,2.2,lancaster
2024,7,1.7,lancaster
2024,8,1.4,lancaster
2024,9,1.4,lancaster
2024,10,1.5,lancaster
2024,11,1.7,lancaster
2024,12,1.9,lancaster
2024,13,2.2,lancaster
2024,14,2.4,lancaster
2024,15,2.8,lancaster
2024,16,3.5,lancaster
2024,17,4.7,lancaster
2024,18,5.5,lancaster
2024,19,5.9,lancaster
2024,20,6.1,lancaster
2024,21,6.0,lancaster
2024,22,5.6,lancaster
2024,23,4.9,lancaster
2024,0,28.3,lancaster
2024,0,0.6,lancaster
2024,1,24.8,lancaster
2024,1,0.5,lancaster
2024,2,21.6,lancaster
2024,2,0.3,lancaster
2024,3,19.4,lancaster
2024,3,0.3,lancaster
2024,4,17.6,lancaster
2024,4,0.3,lancaster
2024,5,16.0,lancaster
2024,5,0.2,lancaster
2024,6,14.2,lancaster
2024,6,0.2,lancaster
2024,7,11.4,lancaster
2024,7,0.2,lancaster
2024,8,9.5,lancaster
2024,8,0.2,lancaster
2024,9,9.2,lancaster
2024,9,0.1,lancaster
2024,10,9.9,lancaster
2024,10,0.2,lancaster
2024,11,11.4,lancaster
2024,11,0.2,lancaster
2024,12,13.2,lancaster
2024,12,0.2,lancaster
2024,13,14.7,lancaster
2024,13,0.2,lancaster
2024,14,16.4,lancaster
2024,14,0.3,lancaster
2024,15,19.2,lancaster
2024,15,0.3,lancaster
2024,16,24.0,lancaster
2024,16,0.5,lancaster
2024,17,31.4,lancaster
2024,17,0.6,lancaster
2024,18,36.8,lancaster
2024,18,0.7,lancaster
2024,19,39.5,lancaster
2024,19,0.8,lancaster
2024,20,41.2,lancaster
2024,20,0.8,lancaster
2024,21,40.3,lancaster
2024,21,0.8,lancaster
2024,22,37.5,lancaster
2024,22,0.7,lancaster
2024,23,33.3,lancaster
2024,23,0.6,lancaster
2024,0,1.8,buchanan
2024,1,1.6,buchanan
2024,2,1.4,buchanan
2024,3,1.2,buchanan
2024,4,1.1,buchanan
2024,5,1.0,buchanan
2024,6,0.9,buchanan
2024,7,0.7,buchanan
2024,8,0.6,buchanan
2024,9,0.6,buchanan
2024,10,0.7,buchanan
2024,11,0.7,buchanan
2024,12,0.8,buchanan
2024,13,0.9,buchanan
